nct_id,brief_title,overall_status,phase,enrollment,sponsor,interventions,primary_outcomes,countries,study_start,primary_completion,last_update_posted,source_url,retrieved_at
NCT00003748,Irinotecan in Treating Patients With Esophageal or Stomach Cancer,COMPLETED,PHASE2,40,Jonsson Comprehensive Cancer Center,irinotecan hydrochloride,To determine the antitumor activity of irinotecan hydrochloride (CPT-11) in patients with unresectable adenocarcinoma of the esophagus and gastric cardia who have failed prior chemotherapy,United States,1998-08,2000-06,,https://clinicaltrials.gov/study/NCT00003748,2026-09-21T00:38:01.688986+00:00
NCT00002615,Surgery With or Without Combination Chemotherapy in Treating Patients With Stomach Cancer,COMPLETED,PHASE3,500,Medical Research Council,cisplatin; epirubicin hydrochloride; fluorouracil; conventional surgery,,United Kingdom,1994-06,,,https://clinicaltrials.gov/study/NCT00002615,2026-09-21T00:38:01.688992+00:00
NCT05606549,Effect of MSD on FCR Among Gastric Cancer Survivors,UNKNOWN,NA,84,University of Malaya,Marital self disclosure,Fear of Progression Questionnaire-Short form (FoP-Q-SF) for Patients; Fear of Progression Questionnaire-Short form (FoP-Q-SF) for Partners,China,2022-10-19,2023-10-25,,https://clinicaltrials.gov/study/NCT05606549,2026-09-21T00:38:01.688998+00:00
NCT05187338,Triplex Checkpoint Inhibitors Therapy for Advanced Solid Tumors,RECRUITING,PHASE1; PHASE2,100,Second Affiliated Hospital of Guangzhou Medical University,ipilimumab +pembrolizumab +durvalumab,Safety of 3 drugs combination treatment; Progression-free survival; Disease control rate; Duration of remission (DOR),China,2021-11-01,2029-10-30,,https://clinicaltrials.gov/study/NCT05187338,2026-09-21T00:38:01.689004+00:00
NCT04276493,Anti-HER2 Bispecific Antibody Zanidatamab (ZW25) Activity in Combination With Chemotherapy With/Without Tislelizumab,COMPLETED,PHASE1; PHASE2,71,BeiGene,Zanidatamab; Docetaxel; Tislelizumab; Capecitabine; Oxaliplatin,Number of Participants Experiencing Adverse Events (AEs) and Serious Adverse Events (SAEs); Objective Response Rate (ORR),China; South Korea; Taiwan,2020-03-23,2023-12-07,,https://clinicaltrials.gov/study/NCT04276493,2026-09-21T00:38:01.689012+00:00
NCT01197885,Efficacy and Safety Study of Multiple Doses of IMAB362 in Patients With Advanced Gastroesophageal Cancer,COMPLETED,PHASE2,54,Ganymed Pharmaceuticals GmbH,IMAB362,"Rate of remission (CR, PR) according to RECIST Criteria",Bulgaria; Germany; Latvia; Lithuania; Switzerland,2010-09-03,2015-08-13,,https://clinicaltrials.gov/study/NCT01197885,2026-09-21T00:38:01.689021+00:00
NCT03579784,Biomarker-oriented Study of Durvalumab (MEDI4736) in Combination With Olaparib and Paclitaxel in Gastric Cancer,UNKNOWN,PHASE2,40,Do-Youn Oh,Paclitaxel; Olaparib; Durvalumab,Disease control rate,South Korea,2018-11-26,2024-12-31,,https://clinicaltrials.gov/study/NCT03579784,2026-09-21T00:38:01.689026+00:00
NCT00737438,Pre-operative Chemotherapy Plus Bevacizumab With Early Salvage Therapy Based on PET Assessment of Response in Patients With Locally Advanced But Resectable Gastric and GEJ Adenocarcinoma,COMPLETED,PHASE2,22,Memorial Sloan Kettering Cancer Center,"epirubicin, cisplatin, capecitabine, bevacizumab, docetaxel and irinotecan",Overall Response Will be Characterized by the Patient's FDG-PET Scan,United States,2008-08,2015-02,,https://clinicaltrials.gov/study/NCT00737438,2026-09-21T00:38:01.689031+00:00
NCT05183126,Pharmacokinetic Study of Skeletal Muscle Area-based Paclitaxel Infusion in Patients With Cancer,RECRUITING,PHASE4,22,University of Michigan Rogel Cancer Center,Paclitaxel; Paclitaxel,Maximum concentration (Cmax) of paclitaxel plasma,United States,2022-03-28,2026-11,,https://clinicaltrials.gov/study/NCT05183126,2026-09-21T00:38:01.689037+00:00
NCT05899985,Magnetic Sentinel Lymph Node Mapping in Upper Gastro-Intestinal Cancer: A Feasibility Clinical Investigation,ACTIVE_NOT_RECRUITING,NA,60,Ferronova Pty Ltd,FerroTrace® and FerroMag Sentinel Lymph Node Mapping (SLNM) System,SLN detection rate; Ultra-staging diagnostic value; Surgical quality,Australia,2024-03-21,2026-05-30,,https://clinicaltrials.gov/study/NCT05899985,2026-09-21T00:38:01.689043+00:00
NCT05753306,"Robotic Cytoreduction and Hyperthermic Intraperitoneal Chemotherapy for Treatment of Gastric Cancer With Limited Peritoneal Metastasis, ROBO-CHIP Study",RECRUITING,PHASE2,40,Mayo Clinic,Cisplatin; Computed Tomography; Gastrectomy; Magnetic Resonance Imaging; Positron Emission Tomography; Questionnaire Administration; Paclitaxel; Hyperthermic Intraperitoneal Chemotherapy,Hospital length of stay; 30 day readmission rate; Adverse Events,United States,2023-04-20,2030-03-25,,https://clinicaltrials.gov/study/NCT05753306,2026-09-21T00:38:01.689049+00:00
NCT00976976,"Adjuvant Chemotherapy With Docetaxel, Capecitabine and Cisplatin in Patients With Advanced Gastric Cancer: Adjuvant DXP",COMPLETED,PHASE2,46,Asan Medical Center,"docetaxel, capecitabine, cisplatin","This protocol will evaluate the possible benefit of adjuvant docetaxel, capecitabine, and cisplatin combination chemotherapy in patients with resected gastric cancer pathologic stage IIIB and IV in terms of relapse free survival.",South Korea,2007-05,2011-09,,https://clinicaltrials.gov/study/NCT00976976,2026-09-21T00:38:01.689054+00:00
NCT06582849,Enhanced Assistance During Radiotherapy for Unmet Essential Needs,COMPLETED,NA,33,Washington University School of Medicine,Standard assistance; Enhanced assistance,Delay-free completion of radiotherapy,United States,2024-10-04,2025-08-08,,https://clinicaltrials.gov/study/NCT06582849,2026-09-21T00:38:01.689059+00:00
NCT07400315,First-line Treatment of Gastric or Gastroesophageal Junction Adenocarcinoma With Dual Immunotherapy Combined With Chemotherapy,NOT_YET_RECRUITING,PHASE2,64,The First Affiliated Hospital with Nanjing Medical University,Iparomlimab and Tuvonralimab Injection in combination with TFOX,Median progression-free survival,,2026-03-01,2028-12-31,,https://clinicaltrials.gov/study/NCT07400315,2026-09-21T00:38:01.689064+00:00
